Struthio camelus,Ostrich,TC000001
Aegotheles albertisi,Mountain Owlet-Nightjar,TC003629
Aegotheles crinifrons,Moluccan Owlet-Nightjar,TC003626
Aegotheles cristatus,Australian Owlet-Nightjar,TC003632
Aegotheles affinis,Vogelkop Owlet-Nightjar,TC012259
Aegotheles bennettii,Barred Owlet-Nightjar,TC012258
Podargus strigoides,Tawny Frogmouth,TC003633
Podargus ocellatus,Marbled Frogmouth,TC003634
Podargus papuensis,Papuan Frogmouth,TC003637
Rigidipenna inexpectata,Solomons Frogmouth,TC003638
Batrachostomus auritus,Large Frogmouth,TC003639
Batrachostomus harterti,Dulit Frogmouth,TC003640
Batrachostomus septimus,Philippine Frogmouth,TC003641
Batrachostomus stellatus,Gould's Frogmouth,TC003642
Batrachostomus moniliger,Sri Lanka Frogmouth,TC003643
Batrachostomus hodgsoni,Hodgson's Frogmouth,TC003644
Batrachostomus poliolophus,Short-tailed Frogmouth,TC003645
Batrachostomus javensis,Javan Frogmouth,TC003646
Batrachostomus cornutus,Sunda Frogmouth,TC003647
Eurostopodus argus,Spotted Nightjar,TC003660
Eurostopodus mystacalis,White-throated Nightjar,TC003661
Eurostopodus diabolicus,Diabolical Nightjar,TC003662
Eurostopodus papuensis,Papuan Nightjar,TC003663
Eurostopodus archboldi,Archbold's Nightjar,TC003664
Lyncornis temminckii,Malaysian Nightjar,TC003665
Lyncornis macrotis,Great Eared-Nightjar,TC003666
Gactornis enarratus,Collared Nightjar,TC003740
Chordeiles nacunda,Nacunda Nighthawk,TC003667
Chordeiles pusillus,Least Nighthawk,TC003652
Chordeiles rupestris,Sand-colored Nighthawk,TC003653
Chordeiles acutipennis,Lesser Nighthawk,TC003654
Chordeiles minor,Common Nighthawk,TC003655
Chordeiles gundlachii,Antillean Nighthawk,TC003656
Lurocalis semitorquatus,Short-tailed Nighthawk,TC003648
Lurocalis rufiventris,Rufous-bellied Nighthawk,TC003651
Nyctiprogne leucopyga,Band-tailed Nighthawk,TC003658
Nyctiprogne vielliardi,Bahian Nighthawk,TC003659
Nyctipolus nigrescens,Blackish Nightjar,TC003704
Nyctipolus hirundinaceus,Pygmy Nightjar,TC003708
Systellura longirostris,Band-winged Nightjar,TC003693
Nyctidromus albicollis,Common Pauraque,TC003668
Nyctidromus anthonyi,Scrub Nightjar,TC003702
Eleothreptus candicans,White-winged Nightjar,TC003698
Eleothreptus anomalus,Sickle-winged Nightjar,TC003753
Uropsalis segmentata,Swallow-tailed Nightjar,TC003750
Uropsalis lyra,Lyre-tailed Nightjar,TC003751
Setopagis heterurus,Todd's Nightjar,TC003700
Setopagis parvulus,Little Nightjar,TC003701
Setopagis whitelyi,Roraiman Nightjar,TC003705
Setopagis maculosus,Cayenne Nightjar,TC003703
Hydropsalis cayennensis,White-tailed Nightjar,TC003697
Hydropsalis maculicaudus,Spot-tailed Nightjar,TC003699
Hydropsalis climacocerca,Ladder-tailed Nightjar,TC003748
Hydropsalis torquata,Scissor-tailed Nightjar,TC003749
Macropsalis forcipata,Long-trained Nightjar,TC003752
Siphonorhis americana,Jamaican Pauraque,TC003670
Siphonorhis brewsteri,Least Pauraque,TC003671
Nyctiphrynus mcleodii,Eared Poorwill,TC003672
Nyctiphrynus yucatanicus,Yucatan Poorwill,TC003673
Nyctiphrynus ocellatus,Ocellated Poorwill,TC003674
Nyctiphrynus rosenbergi,Choco Poorwill,TC003675
Phalaenoptilus nuttallii,Common Poorwill,TC003669
Antrostomus carolinensis,Chuck-will's-widow,TC003676
Antrostomus rufus,Rufous Nightjar,TC003677
Antrostomus cubanensis,Greater Antillean Nightjar,TC003681
Antrostomus salvini,Tawny-collared Nightjar,TC003684
Antrostomus badius,Yucatan Nightjar,TC003685
Antrostomus sericocaudatus,Silky-tailed Nightjar,TC003686
Antrostomus ridgwayi,Buff-collared Nightjar,TC003687
Antrostomus vociferus,Eastern Whip-poor-will,TC003689
Antrostomus saturatus,Dusky Nightjar,TC003692
Antrostomus arizonae,Mexican Whip-poor-will,TC003690
Antrostomus noctitherus,Puerto Rican Nightjar,TC003691
Caprimulgus vexillarius,Pennant-winged Nightjar,TC003746
Caprimulgus longipennis,Standard-winged Nightjar,TC003747
Caprimulgus binotatus,Brown Nightjar,TC003706
Caprimulgus ruficollis,Red-necked Nightjar,TC003707
Caprimulgus indicus,Gray Nightjar,TC003709
Caprimulgus europaeus,Eurasian Nightjar,TC003710
Caprimulgus fraenatus,Sombre Nightjar,TC003711
Caprimulgus rufigena,Rufous-cheeked Nightjar,TC003712
Caprimulgus aegyptius,Egyptian Nightjar,TC003713
Caprimulgus nubicus,Nubian Nightjar,TC003714
Caprimulgus mahrattensis,Sykes's Nightjar,TC003715
Caprimulgus centralasicus,Vaurie's Nightjar,TC003716
Caprimulgus eximius,Golden Nightjar,TC003717
Caprimulgus macrurus,Large-tailed Nightjar,TC003718
Caprimulgus andamanicus,Andaman Nightjar,TC003719
Caprimulgus meesi,Mees's Nightjar,TC003720
Caprimulgus atripennis,Jerdon's Nightjar,TC003721
Caprimulgus manillensis,Philippine Nightjar,TC003722
Caprimulgus celebensis,Sulawesi Nightjar,TC003723
Caprimulgus donaldsoni,Donaldson-Smith's Nightjar,TC003724
Caprimulgus nigriscapularis,Black-shouldered Nightjar,TC003725
Caprimulgus pectoralis,Fiery-necked Nightjar,TC003726
Caprimulgus poliocephalus,Abyssinian Nightjar,TC003727
Caprimulgus ruwenzorii,Montane Nightjar,TC003728
Caprimulgus asiaticus,Indian Nightjar,TC003729
Caprimulgus madagascariensis,Madagascar Nightjar,TC003730
Caprimulgus natalensis,Swamp Nightjar,TC003731
Caprimulgus inornatus,Plain Nightjar,TC003732
Caprimulgus stellatus,Star-spotted Nightjar,TC003733
Caprimulgus solala,Nechisar Nightjar,TC003734
Caprimulgus affinis,Savanna Nightjar,TC003735
Caprimulgus tristigma,Freckled Nightjar,TC003736
Caprimulgus concretus,Bonaparte's Nightjar,TC003737
Caprimulgus pulchellus,Salvadori's Nightjar,TC003738
Caprimulgus prigoginei,Itombwe Nightjar,TC003739
Caprimulgus batesi,Bates's Nightjar,TC003741
Caprimulgus climacurus,Long-tailed Nightjar,TC003742
Caprimulgus clarus,Slender-tailed Nightjar,TC003743
Caprimulgus fossii,Square-tailed Nightjar,TC003744
Nyctibius grandis,Great Potoo,TC003755
Nyctibius aethereus,Long-tailed Potoo,TC003756
Nyctibius griseus,Common Potoo,TC003757
Nyctibius jamaicensis,Northern Potoo,TC003758
Nyctibius maculosus,Andean Potoo,TC003759
Nyctibius leucopterus,White-winged Potoo,TC003760
Nyctibius bracteatus,Rufous Potoo,TC003761
Steatornis caripensis,Oilbird,TC003762
Cypseloides niger,Black Swift,TC003763
Cypseloides lemosi,White-chested Swift,TC003767
Cypseloides rothschildi,Rothschild's Swift,TC003768
Cypseloides fumigatus,Sooty Swift,TC003769
Cypseloides storeri,White-fronted Swift,TC003770
Cypseloides cryptus,White-chinned Swift,TC003771
Cypseloides cherriei,Spot-fronted Swift,TC003772
Cypseloides senex,Great Dusky Swift,TC003773
Streptoprocne rutila,Chestnut-collared Swift,TC003775
Streptoprocne phelpsi,Tepui Swift,TC003776
Streptoprocne zonaris,White-collared Swift,TC003777
Streptoprocne semicollaris,White-naped Swift,TC003778
Streptoprocne biscutata,Biscutate Swift,TC003779
Mearnsia picina,Philippine Needletail,TC003781
Mearnsia novaeguineae,Papuan Needletail,TC003782
Zoonavena grandidieri,Malagasy Spinetail,TC003783
Zoonavena thomensis,Sao Tome Spinetail,TC003784
Zoonavena sylvatica,White-rumped Needletail,TC003785
Telacanthura ussheri,Mottled Spinetail,TC003786
Telacanthura melanopygia,Black Spinetail,TC003787
Rhaphidura leucopygialis,Silver-rumped Needletail,TC003788
Rhaphidura sabini,Sabine's Spinetail,TC003789
Neafrapus cassini,Cassin's Spinetail,TC003790
Neafrapus boehmi,Bat-like Spinetail,TC003791
Chaetura pelagica,Chimney Swift,TC003792
Chaetura vauxi,Vaux's Swift,TC003793
Chaetura chapmani,Chapman's Swift,TC003799
Chaetura viridipennis,Amazonian Swift,TC003800
Chaetura meridionalis,Sick's Swift,TC003801
Chaetura brachyura,Short-tailed Swift,TC003802
Chaetura spinicaudus,Band-rumped Swift,TC003805
Chaetura fumosa,Costa Rican Swift,TC003806
Chaetura cinereiventris,Gray-rumped Swift,TC003807
Chaetura egregia,Pale-rumped Swift,TC003810
Chaetura martinica,Lesser Antillean Swift,TC003811
Hirundapus caudacutus,White-throated Needletail,TC003813
Hirundapus cochinchinensis,Silver-backed Needletail,TC003814
Hirundapus giganteus,Brown-backed Needletail,TC003815
Hirundapus celebensis,Purple Needletail,TC003816
Hydrochous gigas,Waterfall Swift,TC003818
Collocalia esculenta,Glossy Swiftlet,TC003819
Collocalia linchi,Cave Swiftlet,TC003820
Collocalia troglodytes,Pygmy Swiftlet,TC003821
Aerodramus elaphrus,Seychelles Swiftlet,TC003822
Aerodramus francicus,Mascarene Swiftlet,TC003823
Aerodramus unicolor,Indian Swiftlet,TC003824
Aerodramus sororum,Sulawesi Swiftlet,TC012648
Aerodramus infuscatus,Halmahera Swiftlet,TC012647
Aerodramus ceramensis,Seram Swiftlet,TC012646
Aerodramus mearnsi,Philippine Swiftlet,TC003826
Aerodramus hirundinaceus,Mountain Swiftlet,TC003827
Aerodramus spodiopygius,White-rumped Swiftlet,TC003828
Aerodramus terraereginae,Australian Swiftlet,TC003829
Aerodramus brevirostris,Himalayan Swiftlet,TC013493
Aerodramus vulcanorum,Volcano Swiftlet,TC003832
Aerodramus whiteheadi,Whitehead's Swiftlet,TC003833
Aerodramus nuditarsus,Bare-legged Swiftlet,TC003834
Aerodramus orientalis,Mayr's Swiftlet,TC003835
Aerodramus palawanensis,Palawan Swiftlet,TC003836
Aerodramus vanikorensis,Uniform Swiftlet,TC003837
Aerodramus salangana,Mossy-nest Swiftlet,TC003838
Aerodramus pelewensis,Palau Swiftlet,TC003839
Aerodramus bartschi,Mariana Swiftlet,TC003840
Aerodramus inquietus,Caroline Islands Swiftlet,TC003841
Aerodramus sawtelli,Atiu Swiftlet,TC003842
Aerodramus leucophaeus,Polynesian Swiftlet,TC003843
Aerodramus ocistus,Marquesan Swiftlet,TC003844
Aerodramus maximus,Black-nest Swiftlet,TC003845
Aerodramus fuciphagus,White-nest Swiftlet,TC003846
Aerodramus germani,Germain's Swiftlet,TC003847
Aerodramus papuensis,Papuan Swiftlet,TC003848
Schoutedenapus myoptilus,Scarce Swift,TC003850
Schoutedenapus schoutedeni,Schouteden's Swift,TC003851
Apus melba,Alpine Swift,TC003852
Apus aequatorialis,Mottled Swift,TC003853
Apus alexandri,Alexander's Swift,TC003854
Apus apus,Common Swift,TC003855
Apus unicolor,Plain Swift,TC003856
Apus niansae,Nyanza Swift,TC003857
Apus pallidus,Pallid Swift,TC003858
Apus barbatus,African Swift,TC003859
Apus berliozi,Forbes-Watson's Swift,TC003860
Apus bradfieldi,Bradfield's Swift,TC003861
Apus balstoni,Madagascar Swift,TC003862
Apus pacificus,Pacific Swift,TC003863
Apus salimalii,Salim Ali's Swift,TC012739
Apus leuconyx,Blyth's Swift,TC012306
Apus cooki,Cook's Swift,TC012413
Apus acuticauda,Dark-rumped Swift,TC003864
Apus affinis,Little Swift,TC003865
Apus nipalensis,House Swift,TC003866
Apus horus,Horus Swift,TC003867
Apus caffer,White-rumped Swift,TC003868
Apus batesi,Bates's Swift,TC003869
Aeronautes saxatalis,White-throated Swift,TC003871
Aeronautes montivagus,White-tipped Swift,TC003872
Aeronautes andecolus,Andean Swift,TC003873
Panyptila cayennensis,Lesser Swallow-tailed Swift,TC003874
Panyptila sanctihieronymi,Great Swallow-tailed Swift,TC003875
Cypsiurus balasiensis,Asian Palm-Swift,TC003876
Cypsiurus parvus,African Palm-Swift,TC003877
Tachornis phoenicobia,Antillean Palm-Swift,TC003878
Tachornis furcata,Pygmy Swift,TC003879
Tachornis squamata,Fork-tailed Palm-Swift,TC003880
Hemiprocne coronata,Crested Treeswift,TC003884
Hemiprocne longipennis,Gray-rumped Treeswift,TC003885
Hemiprocne comata,Whiskered Treeswift,TC003886
Hemiprocne mystacea,Moustached Treeswift,TC003887
Topaza pella,Crimson Topaz,TC003888
Topaza pyra,Fiery Topaz,TC003889
Florisuga mellivora,White-necked Jacobin,TC003890
Florisuga fusca,Black Jacobin,TC003891
Eutoxeres aquila,White-tipped Sicklebill,TC003892
Eutoxeres condamini,Buff-tailed Sicklebill,TC003893
Ramphodon naevius,Saw-billed Hermit,TC003894
Glaucis dohrnii,Hook-billed Hermit,TC003895
Glaucis aeneus,Bronzy Hermit,TC003896
Glaucis hirsutus,Rufous-breasted Hermit,TC003897
Threnetes ruckeri,Band-tailed Barbthroat,TC003898
Threnetes leucurus,Pale-tailed Barbthroat,TC003899
Threnetes niger,Sooty Barbthroat,TC003900
Anopetia gounellei,Broad-tipped Hermit,TC003901
Phaethornis hispidus,White-bearded Hermit,TC003902
Phaethornis yaruqui,White-whiskered Hermit,TC003903
Phaethornis guy,Green Hermit,TC003904
Phaethornis syrmatophorus,Tawny-bellied Hermit,TC003905
Phaethornis koepckeae,Koepcke's Hermit,TC003906
Phaethornis philippii,Needle-billed Hermit,TC003907
Phaethornis bourcieri,Straight-billed Hermit,TC003908
Phaethornis longirostris,Long-billed Hermit,TC003909
Phaethornis superciliosus,Long-tailed Hermit,TC003914
Phaethornis malaris,Great-billed Hermit,TC003916
Phaethornis anthophilus,Pale-bellied Hermit,TC003918
Phaethornis squalidus,Dusky-throated Hermit,TC003919
Phaethornis rupurumii,Streak-throated Hermit,TC003920
Phaethornis longuemareus,Little Hermit,TC003921
Phaethornis aethopyga,Tapajos Hermit,TC003922
Phaethornis idaliae,Minute Hermit,TC003923
Phaethornis nattereri,Cinnamon-throated Hermit,TC003924
Phaethornis atrimentalis,Black-throated Hermit,TC003925
Phaethornis striigularis,Stripe-throated Hermit,TC003926
Phaethornis griseogularis,Gray-chinned Hermit,TC003927
Phaethornis ruber,Reddish Hermit,TC003928
Phaethornis stuarti,White-browed Hermit,TC003929
Phaethornis subochraceus,Buff-bellied Hermit,TC003930
Phaethornis augusti,Sooty-capped Hermit,TC003931
Phaethornis pretrei,Planalto Hermit,TC003932
Phaethornis eurynome,Scale-throated Hermit,TC003933
Doryfera ludovicae,Green-fronted Lancebill,TC003935
Doryfera johannae,Blue-fronted Lancebill,TC003936
Schistes geoffroyi,Wedge-billed Hummingbird,TC003937
Augastes scutatus,Hyacinth Visorbearer,TC003938
Augastes lumachella,Hooded Visorbearer,TC003939
Colibri delphinae,Brown Violetear,TC003940
Colibri thalassinus,Green Violetear,TC003941
Colibri coruscans,Sparkling Violetear,TC003945
Colibri serrirostris,White-vented Violetear,TC003946
Androdon aequatorialis,Tooth-billed Hummingbird,TC003947
Heliactin bilophus,Horned Sungem,TC003948
Heliothryx barroti,Purple-crowned Fairy,TC003949
Heliothryx auritus,Black-eared Fairy,TC003950
Polytmus guainumbi,White-tailed Goldenthroat,TC003951
Polytmus milleri,Tepui Goldenthroat,TC003952
Polytmus theresiae,Green-tailed Goldenthroat,TC003953
Avocettula recurvirostris,Fiery-tailed Awlbill,TC003954
Chrysolampis mosquitus,Ruby-topaz Hummingbird,TC003955
Anthracothorax viridigula,Green-throated Mango,TC003956
Anthracothorax prevostii,Green-breasted Mango,TC003957
Anthracothorax nigricollis,Black-throated Mango,TC003960
Anthracothorax veraguensis,Veraguan Mango,TC003961
Anthracothorax dominicus,Antillean Mango,TC003962
Anthracothorax viridis,Green Mango,TC003963
Anthracothorax mango,Jamaican Mango,TC003964
Eulampis jugularis,Purple-throated Carib,TC003966
Eulampis holosericeus,Green-throated Carib,TC003967
Heliangelus mavors,Orange-throated Sunangel,TC003968
Heliangelus amethysticollis,Amethyst-throated Sunangel,TC003969
Heliangelus strophianus,Gorgeted Sunangel,TC003972
Heliangelus exortis,Tourmaline Sunangel,TC003973
Heliangelus micraster,Little Sunangel,TC003974
Heliangelus viola,Purple-throated Sunangel,TC003975
Heliangelus zusii,Bogota Sunangel,TC003976
Heliangelus regalis,Royal Sunangel,TC003977
Sephanoides sephaniodes,Green-backed Firecrown,TC003978
Sephanoides fernandensis,Juan Fernandez Firecrown,TC003979
Discosura popelairii,Wire-crested Thorntail,TC003980
Discosura langsdorffi,Black-bellied Thorntail,TC003981
Discosura letitiae,Coppery Thorntail,TC003982
Discosura conversii,Green Thorntail,TC003983
Discosura longicaudus,Racket-tailed Coquette,TC003984
Lophornis ornatus,Tufted Coquette,TC003985
Lophornis gouldii,Dot-eared Coquette,TC003986
Lophornis magnificus,Frilled Coquette,TC003987
Lophornis brachylophus,Short-crested Coquette,TC003988
Lophornis delattrei,Rufous-crested Coquette,TC003989
Lophornis stictolophus,Spangled Coquette,TC003990
Lophornis chalybeus,Festive Coquette,TC003991
Lophornis pavoninus,Peacock Coquette,TC003992
Lophornis helenae,Black-crested Coquette,TC003993
Lophornis adorabilis,White-crested Coquette,TC003994
Phlogophilus hemileucurus,Ecuadorian Piedtail,TC003995
Phlogophilus harterti,Peruvian Piedtail,TC003996
Adelomyia melanogenys,Speckled Hummingbird,TC003997
Anthocephala floriceps,Blossomcrown,TC003998
Aglaiocercus kingi,Long-tailed Sylph,TC003999
Aglaiocercus coelestis,Violet-tailed Sylph,TC004000
Aglaiocercus berlepschi,Venezuelan Sylph,TC004001
Sappho sparganura,Red-tailed Comet,TC004002
Polyonymus caroli,Bronze-tailed Comet,TC004003
Taphrolesbia griseiventris,Gray-bellied Comet,TC004004
Oreotrochilus chimborazo,Ecuadorian Hillstar,TC004005
Oreotrochilus estella,Andean Hillstar,TC004006
Oreotrochilus leucopleurus,White-sided Hillstar,TC004009
Oreotrochilus melanogaster,Black-breasted Hillstar,TC004010
Oreotrochilus adela,Wedge-tailed Hillstar,TC004011
Opisthoprora euryptera,Mountain Avocetbill,TC004012
Lesbia victoriae,Black-tailed Trainbearer,TC004013
Lesbia nuna,Green-tailed Trainbearer,TC004014
Ramphomicron dorsale,Black-backed Thornbill,TC004015
Ramphomicron microrhynchum,Purple-backed Thornbill,TC004016
Chalcostigma ruficeps,Rufous-capped Thornbill,TC004017
Chalcostigma olivaceum,Olivaceous Thornbill,TC004018
Chalcostigma stanleyi,Blue-mantled Thornbill,TC004019
Chalcostigma heteropogon,Bronze-tailed Thornbill,TC004020
Chalcostigma herrani,Rainbow-bearded Thornbill,TC004021
Oxypogon guerinii,Bearded Helmetcrest,TC004022
Oreonympha nobilis,Bearded Mountaineer,TC004023
Metallura iracunda,Perija Metaltail,TC004024
Metallura tyrianthina,Tyrian Metaltail,TC004025
Metallura williami,Viridian Metaltail,TC004026
Metallura baroni,Violet-throated Metaltail,TC004027
Metallura odomae,Neblina Metaltail,TC004028
Metallura theresiae,Coppery Metaltail,TC004029
Metallura eupogon,Fire-throated Metaltail,TC004030
Metallura aeneocauda,Scaled Metaltail,TC004031
Metallura phoebe,Black Metaltail,TC004032
Haplophaedia aureliae,Greenish Puffleg,TC004033
Haplophaedia assimilis,Buff-thighed Puffleg,TC004034
Haplophaedia lugens,Hoary Puffleg,TC004035
Eriocnemis nigrivestis,Black-breasted Puffleg,TC004036
Eriocnemis isabellae,Gorgeted Puffleg,TC004037
Eriocnemis vestita,Glowing Puffleg,TC004038
Eriocnemis derbyi,Black-thighed Puffleg,TC004039
Eriocnemis godini,Turquoise-throated Puffleg,TC004040
Eriocnemis cupreoventris,Coppery-bellied Puffleg,TC004041
Eriocnemis luciani,Sapphire-vented Puffleg,TC004042
Eriocnemis mosquera,Golden-breasted Puffleg,TC004045
Eriocnemis glaucopoides,Blue-capped Puffleg,TC004046
Eriocnemis mirabilis,Colorful Puffleg,TC004047
Eriocnemis aline,Emerald-bellied Puffleg,TC004048
Loddigesia mirabilis,Marvelous Spatuletail,TC004049
Aglaeactis cupripennis,Shining Sunbeam,TC004050
Aglaeactis castelnaudii,White-tufted Sunbeam,TC004051
Aglaeactis aliciae,Purple-backed Sunbeam,TC004052
Aglaeactis pamela,Black-hooded Sunbeam,TC004053
Coeligena coeligena,Bronzy Inca,TC004054
Coeligena wilsoni,Brown Inca,TC004055
Coeligena prunellei,Black Inca,TC004056
Coeligena torquata,Collared Inca,TC004057
Coeligena violifer,Violet-throated Starfrontlet,TC004067
Coeligena iris,Rainbow Starfrontlet,TC004068
Coeligena phalerata,White-tailed Starfrontlet,TC004060
Coeligena orina,Dusky Starfrontlet,TC004061
Coeligena lutetiae,Buff-winged Starfrontlet,TC004066
Coeligena bonapartei,Golden-bellied Starfrontlet,TC004062
Coeligena helianthea,Blue-throated Starfrontlet,TC004065
Lafresnaya lafresnayi,Mountain Velvetbreast,TC004069
Ensifera ensifera,Sword-billed Hummingbird,TC004070
Pterophanes cyanopterus,Great Sapphirewing,TC004071
Boissonneaua flavescens,Buff-tailed Coronet,TC004072
Boissonneaua matthewsii,Chestnut-breasted Coronet,TC004073
Boissonneaua jardini,Velvet-purple Coronet,TC004074
Ocreatus underwoodii,Booted Racket-tail,TC004075
Urochroa bougueri,White-tailed Hillstar,TC004076
Urosticte benjamini,Purple-bibbed Whitetip,TC004077
Urosticte ruficrissa,Rufous-vented Whitetip,TC004078
Heliodoxa xanthogonys,Velvet-browed Brilliant,TC004079
Heliodoxa gularis,Pink-throated Brilliant,TC004080
Heliodoxa branickii,Rufous-webbed Brilliant,TC004081
Heliodoxa schreibersii,Black-throated Brilliant,TC004082
Heliodoxa aurescens,Gould's Jewelfront,TC004083
Heliodoxa rubinoides,Fawn-breasted Brilliant,TC004084
Heliodoxa jacula,Green-crowned Brilliant,TC004085
Heliodoxa imperatrix,Empress Brilliant,TC004086
Heliodoxa leadbeateri,Violet-fronted Brilliant,TC004087
Clytolaema rubricauda,Brazilian Ruby,TC004088
Patagona gigas,Giant Hummingbird,TC004089
Sternoclyta cyanopectus,Violet-chested Hummingbird,TC004090
Hylonympha macrocerca,Scissor-tailed Hummingbird,TC004091
Eugenes fulgens,Magnificent Hummingbird,TC004092
Heliomaster longirostris,Long-billed Starthroat,TC004095
Heliomaster constantii,Plain-capped Starthroat,TC004096
Heliomaster squamosus,Stripe-breasted Starthroat,TC004097
Heliomaster furcifer,Blue-tufted Starthroat,TC004098
Panterpe insignis,Fiery-throated Hummingbird,TC004099
Lampornis viridipallens,Green-throated Mountain-gem,TC004100
Lampornis sybillae,Green-breasted Mountain-gem,TC004101
Lampornis amethystinus,Amethyst-throated Hummingbird,TC004102
Lampornis clemenciae,Blue-throated Hummingbird,TC004105
Lampornis hemileucus,White-bellied Mountain-gem,TC004106
Lampornis calolaemus,Purple-throated Mountain-gem,TC004107
Lampornis castaneoventris,White-throated Mountain-gem,TC004108
Lamprolaima rhami,Garnet-throated Hummingbird,TC004111
Myrtis fanny,Purple-collared Woodstar,TC004112
Eulidia yarrellii,Chilean Woodstar,TC004113
Rhodopis vesper,Oasis Hummingbird,TC004114
Thaumastura cora,Peruvian Sheartail,TC004115
Chaetocercus mulsant,White-bellied Woodstar,TC004116
Chaetocercus bombus,Little Woodstar,TC004117
Chaetocercus heliodor,Gorgeted Woodstar,TC004118
Chaetocercus astreans,Santa Marta Woodstar,TC004119
